6300	0.1273	0.0709	0.0564	-0.2891	-0.2452	6.454	2.0644	0.9768
6399.9	0.1294	0.0728	0.0566	-0.4124	-0.2460	6.571	2.1647	1.0017
6500	0.1316	0.0750	0.0566	-0.5126	-0.2459	6.674	2.2652	1.0251
6600.1	0.1334	0.0771	0.0563	-0.6375	-0.2450	6.802	2.3846	1.0536
6700	0.1349	0.0789	0.0560	-0.7690	-0.2435	6.899	2.4945	1.0774
6800	0.1366	0.0810	0.0556	-0.8734	-0.2418	7.001	2.5857	1.0997
6899.9	0.1382	0.0830	0.0552	-0.9937	-0.2401	7.111	2.7020	1.1256
7000	0.1398	0.0849	0.0549	-1.1060	-0.2386	7.196	2.8185	1.1488
7100.1	0.1417	0.0871	0.0546	-1.2012	-0.2376	7.287	2.9401	1.1733
7200	0.1436	0.0890	0.0546	-1.3051	-0.2372	7.385	3.0676	1.1992
7300	0.1458	0.0911	0.0547	-1.3929	-0.2377	7.482	3.1780	1.2231
7399.9	0.1485	0.0935	0.0550	-1.4504	-0.2391	7.577	3.3049	1.2485
7500	0.1511	0.0956	0.0555	-1.5300	-0.2412	7.700	3.4413	1.2784
7600.1	0.1542	0.0981	0.0561	-1.5768	-0.2441	7.795	3.5654	1.3036
7700	0.1577	0.1007	0.0570	-1.6067	-0.2477	7.911	3.7175	1.3344
7800	0.1609	0.1030	0.0579	-1.6666	-0.2517	8.038	3.8742	1.367
7899.9	0.1646	0.1056	0.0590	-1.7091	-0.2563	8.143	4.0050	1.3941
8000	0.1687	0.1085	0.0602	-1.7298	-0.2618	8.278	4.1479	1.4261
8100.1	0.1733	0.1115	0.0618	-1.7157	-0.2687	8.419	4.3174	1.4618
8200	0.1785	0.1148	0.0637	-1.6877	-0.2769	8.576	4.4993	1.5009
8300	0.1839	0.1180	0.0659	-1.6600	-0.2864	8.729	4.7074	1.5423
8399.9	0.1901	0.1218	0.0683	-1.5928	-0.2971	8.900	4.8926	1.5833
8500	0.1963	0.1253	0.0710	-1.5379	-0.3088	9.063	5.1392	1.6304
8600.1	0.2030	0.1291	0.0739	-1.4636	-0.3215	9.229	5.3479	1.6735
8700	0.2105	0.1333	0.0772	-1.3421	-0.3354	9.412	5.5825	1.7215
8800	0.2182	0.1376	0.0806	-1.2228	-0.3504	9.628	5.8532	1.7775
8899.9	0.2267	0.1423	0.0844	-1.0725	-0.3669	9.862	6.0963	1.8324
9000	0.2360	0.1475	0.0885	-0.9231	-0.3848	10.109	6.3785	1.8932
9100.1	0.2457	0.1527	0.0930	-0.8015	-0.4043	10.359	6.7050	1.9595
9200	0.2561	0.1583	0.0978	-0.6872	-0.4252	10.647	6.9999	2.0265
9300	0.2671	0.1642	0.1029	-0.5995	-0.4475	10.942	7.3284	2.0982
9399.9	0.2788	0.1704	0.1084	-0.5320	-0.4712	11.233	7.7005	2.1745
9500	0.2909	0.1768	0.1141	-0.4985	-0.4961	11.581	8.0574	2.2556
9600.1	0.3034	0.1834	0.1200	-0.4998	-0.5217	11.903	8.4475	2.3374
9700	0.3160	0.1900	0.1260	-0.5412	-0.5478	12.239	8.8454	2.4218
9800	0.3286	0.1967	0.1319	-0.6230	-0.5736	12.598	9.2208	2.5063
9899.9	0.3413	0.2034	0.1379	-0.7360	-0.5996	12.937	9.6248	2.5918
10000	0.3539	0.2100	0.1439	-0.8871	-0.6255	13.257	10.0410	2.6764
10100	0.3666	0.2167	0.1499	-1.0481	-0.6518	13.576	10.4510	2.7603
10200	0.3793	0.2233	0.1560	-1.2483	-0.6782	13.873	10.8910	2.845
10300	0.3918	0.2298	0.1620	-1.4705	-0.7045	14.172	11.3020	2.9267
10400	0.4051	0.2370	0.1681	-1.6603	-0.7307	14.444	11.7420	3.0086
10500	0.4190	0.2449	0.1741	-1.8337	-0.7570	14.733	12.2620	3.1017
10600	0.4332	0.2531	0.1801	-2.0112	-0.7830	14.983	12.9120	3.2051
10700	0.4485	0.2624	0.1861	-2.1483	-0.8092	15.210	13.6130	3.3119
10800	0.4642	0.2721	0.1921	-2.2688	-0.8351	15.441	14.3930	3.428
10900	0.4803	0.2823	0.1980	-2.4094	-0.8607	15.705	15.1850	3.5495
11000	0.4967	0.2929	0.2038	-2.5488	-0.8861	15.950	16.0200	3.6736
11100	0.5129	0.3033	0.2096	-2.7464	-0.9112	16.203	16.8880	3.8026
11200	0.5297	0.3144	0.2153	-2.9158	-0.9360	16.441	17.7530	3.9294
11300	0.5466	0.3257	0.2209	-3.0859	-0.9606	16.699	18.6720	4.0648
11400	0.5644	0.3378	0.2266	-3.2034	-0.9854	16.918	19.6440	4.2018
11500	0.5828	0.3503	0.2325	-3.2957	-1.0107	17.160	20.6890	4.3497
11600	0.6018	0.3634	0.2384	-3.3570	-1.0367	17.405	21.7760	4.503
11700	0.6208	0.3763	0.2445	-3.4404	-1.0632	17.650	22.9050	4.661
11800	0.6406	0.3898	0.2508	-3.4671	-1.0905	17.906	24.0100	4.8174
11900	0.6602	0.4030	0.2572	-3.5419	-1.1184	18.191	25.1410	4.9803
12000	0.6799	0.4161	0.2638	-3.6186	-1.1471	18.456	26.2410	5.1372
12100	0.6998	0.4292	0.2706	-3.7139	-1.1766	18.740	27.3040	5.2922
